,ros_time,wheel_meas_index,cmd_left_vel,meas_left_vel,cmd_right_vel,meas_right_vel,warthog_odom_lin_vel,warthog_odom_ang_vel
197,1603824049002212047,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
198,1603824049052197933,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
199,1603824049102232933,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
200,1603824049152192115,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
201,1603824049202205896,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
202,1603824049252131938,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
203,1603824049302170038,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
204,1603824049352189064,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
205,1603824049402194976,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
206,1603824049452189922,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
207,1603824049502204895,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
208,1603824049552227020,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
209,1603824049602181911,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
210,1603824049652128934,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
211,1603824049702224969,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
212,1603824049752160072,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
213,1603824049802210092,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
214,1603824049852159023,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
215,1603824049902182102,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
216,1603824049952132940,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
217,1603824050002121925,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
218,1603824050052143096,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
219,1603824050102164983,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
220,1603824050152168035,0,0.0,0,0.0,0,-6.691560283308973e-16,-2.3690088519351393e-15
221,1603824050202121019,0,-0.03600000000000001,0,0.03600000000000001,0,-6.691560283308973e-16,-2.3690088519351393e-15
222,1603824050252085924,0,-0.07200000000000002,0,0.07200000000000002,0,-6.691560283308973e-16,-2.3690088519351393e-15
223,1603824050302177906,1,-0.10800000000000003,-0.1265363707695889,0.10800000000000003,0.0,-6.691560283308973e-16,-2.3690088519351393e-15
224,1603824050352171897,1,-0.14400000000000004,-0.1265363707695889,0.14400000000000004,0.0,-0.0018980597565066855,0.003514925475008772
225,1603824050402110099,1,-0.18000000000000005,-0.1265363707695889,0.18000000000000005,0.0,-0.0037960940075018063,0.007029803717592329
226,1603824050452152013,1,-0.21600000000000005,-0.1265363707695889,0.21600000000000005,0.0,-0.00209439458174316,0.01721091139304356
227,1603824050502161979,1,-0.25200000000000006,-0.1265363707695889,0.25200000000000006,0.0,-0.000392691211587072,0.027392042667506483
228,1603824050552176952,1,-0.2880000000000001,-0.1265363707695889,0.2880000000000001,0.0,0.0013090073287448003,0.037573145045551815
229,1603824050602230072,1,-0.32400000000000007,-0.1265363707695889,0.32400000000000007,0.0,0.0030106960333962703,0.047754188577636414
230,1603824050652221918,1,-0.3600000000000001,-0.1265363707695889,0.3600000000000001,0.0,0.004712407309094165,0.05793536715017273
231,1603824050702265024,1,-0.39599999999999996,-0.1265363707695889,0.39599999999999996,0.0,0.0058904993281136565,0.06714678622893253
232,1603824050752254009,1,-0.4320000000000001,-0.1265363707695889,0.4320000000000001,0.0,0.007068596455394432,0.07635824524880729
233,1603824050802306890,2,-0.4680000000000002,-0.13962634015954636,0.4680000000000002,0.20507618710933373,0.008246686187657226,0.08556964644752384
234,1603824050852242946,2,-0.5040000000000001,-0.13962634015954636,0.5040000000000001,0.20507618710933373,0.011126502039641658,0.09162987301488834
235,1603824050902164936,2,-0.54,-0.13962634015954636,0.54,0.20507618710933373,0.014006277492467132,0.0976900015556034
236,1603824050952101945,2,-0.5760000000000002,-0.13962634015954636,0.5760000000000002,0.20507618710933373,0.012566379208588246,0.09575078168017578
237,1603824051002125024,2,-0.6120000000000001,-0.13962634015954636,0.6120000000000001,0.20507618710933373,0.011126476519532268,0.09381152369946043
238,1603824051052148103,3,-0.6480000000000001,-0.11780972450961724,0.6480000000000001,0.15707963267948966,0.009686575400026846,0.09187219197702319
239,1603824051102241992,3,-0.684,-0.11780972450961724,0.684,0.15707963267948966,0.008573936414438968,0.08932697813650367
240,1603824051152143955,3,-0.7200000000000002,-0.11780972450961724,0.7200000000000002,0.15707963267948966,0.007461272100660717,0.08678159351480386
241,1603824051202111005,3,-0.7560000000000001,-0.11780972450961724,0.7560000000000001,0.15707963267948966,0.0060213820538712855,0.08363031396760778
242,1603824051252145051,3,-0.7919999999999999,-0.11780972450961724,0.7919999999999999,0.15707963267948966,0.004581485266446968,0.08047903226583109
243,1603824051302149057,4,-0.8280000000000002,-0.08726646259971647,0.8280000000000002,0.10035643198967395,0.003141594852816764,0.07732783202465401
244,1603824051352092981,4,-0.8640000000000002,-0.08726646259971647,0.8640000000000002,0.10035643198967395,0.002356188266761531,0.0729644262200498
245,1603824051402204990,4,-0.9000000000000001,-0.08726646259971647,0.9000000000000001,0.10035643198967395,0.0015707949966118771,0.06860112379628676
246,1603824051452214002,4,-0.9360000000000004,-0.08726646259971647,0.9360000000000004,0.10035643198967395,0.0013089938547356707,0.06520739026235664
247,1603824051502230882,4,-0.9720000000000001,-0.08726646259971647,0.9720000000000001,0.10035643198967395,0.001047193173635562,0.061813680932673254
248,1603824051552274942,5,-1.0080000000000002,-0.10471975511965978,1.0080000000000002,0.08726646259971647,0.000785395752809111,0.05841999580493407
249,1603824051602231025,5,-1.0440000000000003,-0.10471975511965978,1.0440000000000003,0.08726646259971647,-6.545635738705526e-05,0.05611717778446956
250,1603824051652244091,5,-1.08,-0.10471975511965978,1.08,0.08726646259971647,-0.0009163051252380367,0.053814383584086245
251,1603824051702265977,5,-1.116,-0.10471975511965978,1.116,0.08726646259971647,-0.0009817519950565323,0.05296592205115319
252,1603824051752229928,5,-1.1520000000000004,-0.10471975511965978,1.1520000000000004,0.08726646259971647,-0.001047203593988147,0.052117524044270516
