,ros_time,wheel_meas_index,cmd_left_vel,meas_left_vel,cmd_right_vel,meas_right_vel,left_js_vel,right_js_vel,icp_odom_x,icp_odom_y,icp_odom_z,icp_odom_w
8646,1602248696466396234,305,3.2813333333333334,1.93295214658372,-1.6146666666666665,0.17889624832941878,1.3831734322055063,0.17889624832941878,0.3856537938117981,-2.051285743713379,-0.07151085238505685,0.9972630164190379
8647,1602248696476459051,305,3.2813333333333334,1.93295214658372,-1.6146666666666665,0.17889624832941878,1.3831734322055063,0.17889624832941878,0.3856537938117981,-2.051285743713379,-0.07151085238505685,0.9972630164190379
8648,1602248696486528974,305,3.317333333333334,1.93295214658372,-1.650666666666667,0.17889624832941878,1.93295214658372,0.17889624832941878,0.3856537938117981,-2.051285743713379,-0.07151085238505685,0.9972630164190379
8649,1602248696496584059,305,3.317333333333334,1.93295214658372,-1.650666666666667,0.17889624832941878,1.93295214658372,0.17889624832941878,0.3856537938117981,-2.051285743713379,-0.07151085238505685,0.9972630164190379
8650,1602248696506633105,305,3.317333333333334,1.93295214658372,-1.650666666666667,0.17889624832941878,1.93295214658372,0.17889624832941878,0.3856537938117981,-2.051285743713379,-0.07151085238505685,0.9972630164190379
8651,1602248696516697693,305,3.317333333333334,1.93295214658372,-1.650666666666667,0.17889624832941878,1.93295214658372,0.17889624832941878,0.3856537938117981,-2.051285743713379,-0.07151085238505685,0.9972630164190379
8652,1602248696526772972,305,3.317333333333334,1.93295214658372,-1.650666666666667,0.17889624832941878,1.93295214658372,0.17889624832941878,0.3856537938117981,-2.051285743713379,-0.07151085238505685,0.9972630164190379
8653,1602248696536854634,305,3.3533333333333344,1.93295214658372,-1.6866666666666672,0.17889624832941878,1.93295214658372,0.17889624832941878,0.3856537938117981,-2.051285743713379,-0.07151085238505685,0.9972630164190379
8654,1602248696546913320,305,3.3533333333333344,1.93295214658372,-1.6866666666666672,0.17889624832941878,1.93295214658372,0.17889624832941878,0.3856537938117981,-2.051285743713379,-0.07151085238505685,0.9972630164190379
8655,1602248696556978891,305,3.3533333333333344,1.93295214658372,-1.6866666666666672,0.17889624832941878,1.93295214658372,0.17889624832941878,0.3856537938117981,-2.051285743713379,-0.07151085238505685,0.9972630164190379
8656,1602248696567040828,305,3.3533333333333344,1.93295214658372,-1.6866666666666672,0.17889624832941878,1.93295214658372,0.17889624832941878,0.3856537938117981,-2.051285743713379,-0.07151085238505685,0.9972630164190379
8657,1602248696577101774,305,3.3533333333333344,1.93295214658372,-1.6866666666666672,0.17889624832941878,1.93295214658372,0.17889624832941878,0.40990516543388367,-2.060793876647949,-0.08301422150676231,0.9963637790060051
8658,1602248696587164364,305,3.3893333333333318,1.93295214658372,-1.7226666666666646,0.17889624832941878,1.93295214658372,0.1308996938995747,0.40990516543388367,-2.060793876647949,-0.08301422150676231,0.9963637790060051
8659,1602248696597231688,305,3.3893333333333318,1.93295214658372,-1.7226666666666646,0.17889624832941878,1.93295214658372,0.1308996938995747,0.40990516543388367,-2.060793876647949,-0.08301422150676231,0.9963637790060051
8660,1602248696607306502,305,3.3893333333333318,1.93295214658372,-1.7226666666666646,0.17889624832941878,1.93295214658372,0.1308996938995747,0.40990516543388367,-2.060793876647949,-0.08301422150676231,0.9963637790060051
